,Date,Ticker,Price,Sector,Total-Score,E-Score,S-Score,G-Score
197,2021-06-01,ABT,107.69137573242188,Healthcare,29.98,3.11,16.21,10.65
198,2021-07-01,ABT,112.38249206542969,Healthcare,29.98,3.11,16.21,10.65
199,2021-08-01,ABT,117.83635711669922,Healthcare,29.98,3.11,16.21,10.65
200,2021-09-01,ABT,110.15280151367188,Healthcare,25.96,3.03,13.54,9.39
201,2021-10-01,ABT,120.18619537353516,Healthcare,25.96,3.03,13.54,9.39
202,2021-11-01,ABT,117.72969055175781,Healthcare,25.96,3.03,13.54,9.39
203,2021-12-01,ABT,131.74270629882812,Healthcare,25.96,3.03,13.54,9.39
204,2022-01-01,ABT,119.31163024902344,Healthcare,25.96,3.03,13.54,9.39
205,2022-02-01,ABT,113.30718231201172,Healthcare,25.96,3.03,13.54,9.39
206,2022-03-01,ABT,111.1841812133789,Healthcare,25.96,3.03,13.54,9.39
207,2022-04-01,ABT,106.61883544921875,Healthcare,25.96,3.03,13.54,9.39
208,2022-05-01,ABT,110.77852630615234,Healthcare,25.96,3.03,13.54,9.39
209,2022-06-01,ABT,102.46968078613281,Healthcare,25.96,3.03,13.54,9.39
210,2022-07-01,ABT,102.64885711669922,Healthcare,25.96,3.03,13.54,9.39
211,2022-08-01,ABT,97.24127197265625,Healthcare,24.98,3.03,13.59,8.36
212,2022-09-01,ABT,91.66162872314453,Healthcare,24.98,3.03,13.59,8.36
213,2022-10-01,ABT,93.72676849365234,Healthcare,24.98,3.03,13.59,8.36
214,2022-11-01,ABT,102.39238739013672,Healthcare,24.98,3.03,13.59,8.36
215,2022-12-01,ABT,104.49580383300781,Healthcare,24.98,3.03,13.59,8.36
216,2023-01-01,ABT,105.21915435791016,Healthcare,24.98,3.03,13.59,8.36
217,2023-02-01,ABT,97.25330352783203,Healthcare,24.98,3.03,13.59,8.36
218,2023-03-01,ABT,96.8134994506836,Healthcare,24.98,3.03,13.59,8.36
219,2023-04-01,ABT,105.61906433105469,Healthcare,24.98,3.03,13.59,8.36
220,2023-05-01,ABT,98.00836944580078,Healthcare,24.98,3.03,13.59,8.36
221,2023-06-01,ABT,104.7536392211914,Healthcare,24.98,3.03,13.59,8.36
222,2023-07-01,ABT,106.97325134277344,Healthcare,24.98,3.03,13.59,8.36
223,2023-08-01,ABT,99.34733581542969,Healthcare,24.98,3.03,13.59,8.36
224,2023-09-01,ABT,93.50621032714844,Healthcare,24.83,2.27,14.24,8.33
225,2023-10-01,ABT,91.2856216430664,Healthcare,24.83,2.27,14.24,8.33
226,2023-11-01,ABT,101.24673461914062,Healthcare,24.83,2.27,14.24,8.33
227,2023-12-01,ABT,106.85806274414062,Healthcare,24.83,2.27,14.24,8.33
228,2024-01-01,ABT,109.84819793701172,Healthcare,24.83,2.27,14.24,8.33
229,2024-02-01,ABT,115.7343978881836,Healthcare,24.83,2.27,14.24,8.33
230,2024-03-01,ABT,110.87637329101562,Healthcare,24.83,2.27,14.24,8.33
231,2024-04-01,ABT,103.37471008300781,Healthcare,24.83,2.27,14.24,8.33
232,2024-05-01,ABT,100.18167114257812,Healthcare,24.83,2.27,14.24,8.33
233,2024-06-01,ABT,101.86787414550781,Healthcare,24.83,2.27,14.24,8.33
234,2024-07-01,ABT,103.85797119140625,Healthcare,24.83,2.27,14.24,8.33
235,2024-08-01,ABT,111.6330337524414,Healthcare,24.83,2.27,14.24,8.33
236,2024-09-01,ABT,112.36233520507812,Healthcare,24.83,2.27,14.24,8.33
237,2024-10-01,ABT,111.7315902709961,Healthcare,24.83,2.27,14.24,8.33
238,2024-11-01,ABT,117.60520935058594,Healthcare,22.21,1.81,13.84,6.56
239,2024-12-01,ABT,112.00072479248047,Healthcare,22.21,1.81,13.84,6.56
240,2020-01-01,ACGL,41.99168014526367,Financial Services,26.01,1.9,10.12,13.99
241,2020-02-01,ACGL,38.444828033447266,Financial Services,26.01,1.9,10.12,13.99
242,2020-03-01,ACGL,27.062570571899414,Financial Services,26.01,1.9,10.12,13.99
243,2020-04-01,ACGL,22.8500919342041,Financial Services,26.01,1.9,10.12,13.99
244,2020-05-01,ACGL,26.8343563079834,Financial Services,26.01,1.9,10.12,13.99
245,2020-06-01,ACGL,27.243242263793945,Financial Services,26.01,1.9,10.12,13.99
246,2020-07-01,ACGL,29.240129470825195,Financial Services,26.43,2.15,11.03,13.25
247,2020-08-01,ACGL,29.99134063720703,Financial Services,26.43,2.15,11.03,13.25
248,2020-09-01,ACGL,27.81378173828125,Financial Services,26.43,2.15,11.03,13.25
249,2020-10-01,ACGL,28.72664451599121,Financial Services,26.43,2.15,11.03,13.25
250,2020-11-01,ACGL,30.618932723999023,Financial Services,26.43,2.15,11.03,13.25
251,2020-12-01,ACGL,34.29890823364258,Financial Services,26.43,2.15,11.03,13.25
252,2021-01-01,ACGL,29.86772346496582,Financial Services,26.56,2.15,11.03,13.37
253,2021-02-01,ACGL,34.06118392944336,Financial Services,21.99,1.98,6.97,13.05
254,2021-03-01,ACGL,36.48597717285156,Financial Services,21.99,1.98,6.97,13.05
255,2021-04-01,ACGL,37.76018142700195,Financial Services,21.99,1.98,6.97,13.05
256,2021-05-01,ACGL,37.93134307861328,Financial Services,22.14,1.98,6.97,13.19
257,2021-06-01,ACGL,37.02798843383789,Financial Services,22.14,1.98,6.97,13.19
258,2021-07-01,ACGL,37.08504104614258,Financial Services,22.14,1.98,6.97,13.19
259,2021-08-01,ACGL,39.08192825317383,Financial Services,22.14,1.98,6.97,13.19
260,2021-09-01,ACGL,36.30530548095703,Financial Services,22.14,1.98,6.97,13.19
261,2021-10-01,ACGL,39.76657485961914,Financial Services,22.14,1.98,6.97,13.19
262,2021-11-01,ACGL,38.39728546142578,Financial Services,22.14,1.98,6.97,13.19
263,2021-12-01,ACGL,42.26744079589844,Financial Services,22.14,1.98,6.97,13.19
264,2022-01-01,ACGL,44.04561996459961,Financial Services,22.14,1.98,6.97,13.19
265,2022-02-01,ACGL,44.79682922363281,Financial Services,21.08,1.47,7.0,12.62
266,2022-03-01,ACGL,46.042503356933594,Financial Services,21.08,1.47,7.0,12.62
267,2022-04-01,ACGL,43.42753219604492,Financial Services,21.08,1.47,7.0,12.62
268,2022-05-01,ACGL,45.129642486572266,Financial Services,21.08,1.47,7.0,12.62
269,2022-06-01,ACGL,43.25637435913086,Financial Services,21.08,1.47,7.0,12.62
270,2022-07-01,ACGL,42.21989440917969,Financial Services,21.08,1.47,7.0,12.62
271,2022-08-01,ACGL,43.47508239746094,Financial Services,21.2,1.47,7.31,12.42
272,2022-09-01,ACGL,43.30392074584961,Financial Services,21.2,1.47,7.31,12.42
273,2022-10-01,ACGL,54.676666259765625,Financial Services,21.2,1.47,7.31,12.42
274,2022-11-01,ACGL,56.96833038330078,Financial Services,21.2,1.47,7.31,12.42
275,2022-12-01,ACGL,59.69740676879883,Financial Services,21.2,1.47,7.31,12.42
276,2023-01-01,ACGL,61.1903190612793,Financial Services,20.75,1.47,7.31,11.98
277,2023-02-01,ACGL,66.56289672851562,Financial Services,20.75,1.47,7.31,11.98
278,2023-03-01,ACGL,64.53748321533203,Financial Services,20.75,1.47,7.31,11.98
279,2023-04-01,ACGL,71.38394927978516,Financial Services,20.75,1.47,7.31,11.98
280,2023-05-01,ACGL,66.27762603759766,Financial Services,20.75,1.47,7.31,11.98
281,2023-06-01,ACGL,71.17475128173828,Financial Services,20.75,1.47,7.31,11.98
282,2023-07-01,ACGL,73.87530517578125,Financial Services,20.75,1.47,7.31,11.98
283,2023-08-01,ACGL,73.0860595703125,Financial Services,20.75,1.47,7.31,11.98
284,2023-09-01,ACGL,75.7961196899414,Financial Services,22.46,1.47,10.1,10.89
285,2023-10-01,ACGL,82.42388153076172,Financial Services,22.46,1.47,10.1,10.89
286,2023-11-01,ACGL,79.58070373535156,Financial Services,22.46,1.47,10.1,10.89
287,2023-12-01,ACGL,70.62322998046875,Financial Services,22.46,1.47,10.1,10.89
288,2024-01-01,ACGL,78.382568359375,Financial Services,22.46,1.47,10.1,10.89
289,2024-02-01,ACGL,83.28919982910156,Financial Services,22.46,1.47,10.1,10.89
290,2024-03-01,ACGL,87.90106201171875,Financial Services,22.46,1.47,10.1,10.89
291,2024-04-01,ACGL,88.94705200195312,Financial Services,22.46,1.47,10.1,10.89
292,2024-05-01,ACGL,97.59071350097656,Financial Services,22.46,1.47,10.1,10.89
293,2024-06-01,ACGL,95.93614959716797,Financial Services,22.46,1.47,10.1,10.89
294,2024-07-01,ACGL,91.07705688476562,Financial Services,22.46,1.47,10.1,10.89
295,2024-08-01,ACGL,107.537109375,Financial Services,22.46,1.47,10.1,10.89
296,2024-09-01,ACGL,106.38652801513672,Financial Services,22.46,1.47,10.1,10.89
297,2024-10-01,ACGL,93.7205581665039,Financial Services,20.04,1.59,9.54,8.91
298,2024-11-01,ACGL,95.77449798583984,Financial Services,20.27,1.57,9.92,8.78
299,2024-12-01,ACGL,92.3499984741211,Financial Services,20.27,1.57,9.92,8.78
300,2020-01-01,ACN,188.92977905273438,Technology,15.32,0.96,8.19,6.17
301,2020-02-01,ACN,166.90577697753906,Technology,15.45,0.96,8.19,6.3
302,2020-03-01,ACN,150.88897705078125,Technology,15.45,0.96,8.19,6.3
303,2020-04-01,ACN,171.1572265625,Technology,15.45,0.96,8.19,6.3
304,2020-05-01,ACN,187.18304443359375,Technology,15.45,0.96,8.19,6.3
305,2020-06-01,ACN,199.34500122070312,Technology,15.45,0.96,8.19,6.3
306,2020-07-01,ACN,208.68463134765625,Technology,11.24,0.55,4.98,5.71
307,2020-08-01,ACN,223.56590270996094,Technology,11.24,0.55,4.98,5.71
308,2020-09-01,ACN,210.57667541503906,Technology,11.24,0.55,4.98,5.71
309,2020-10-01,ACN,202.115966796875,Technology,11.24,0.55,4.98,5.71
310,2020-11-01,ACN,233.01007080078125,Technology,11.24,0.55,4.98,5.71
311,2020-12-01,ACN,244.34768676757812,Technology,11.24,0.55,4.98,5.71
312,2021-01-01,ACN,226.3028564453125,Technology,11.31,0.55,4.98,5.78
313,2021-02-01,ACN,235.50523376464844,Technology,11.31,0.55,4.98,5.78
314,2021-03-01,ACN,259.2997741699219,Technology,11.31,0.55,4.98,5.78
315,2021-04-01,ACN,272.177978515625,Technology,11.31,0.55,4.98,5.78
316,2021-05-01,ACN,265.6668395996094,Technology,11.31,0.55,4.98,5.78
317,2021-06-01,ACN,277.55859375,Technology,11.31,0.55,4.98,5.78
